Location,Latitude,Longitude
Aland,17° 36' N,76° 35' E
Anagundi,15° 21' N,76° 33' E
Athni,16° 44' N,75° 06' E
Bagalkot,16° 12' N,75° 45' E
Bagevadi,16° 33' N,76° 05' E
Bangalore,12° 58' N,77° 38' E
Bantval,12° 53' N,75° 05' E
Belgaum,15° 52' N,74° 34' E
Bellary,15° 09' N,76° 55' E
Bhadravati,13° 52' N,75° 40' E
Bhalki,18° 04' N,77° 10' E
Bidar,17° 55' N,77° 39' E
Bijapur,16° 50' N,75° 47' E
Chamrajnagar,11° 56' N,77° 00' E
Channapatna,12° 38' N,77° 13' E
Chickballapur,13° 26' N,77° 46' E
Chikmagalur,13° 18' N,75° 49' E
Chiknayakanhalli,13° 25' N,76° 40' E
Chitradurga,14° 14' N,76° 26' E
Coondapoor,13° 38' N,74° 42' E
Davangere,14° 31' N,75° 58' E
Deodrug,16° 25' N,77° 00' E
Dharwar,15° 27' N,75° 05' E
Dod-Ballapur,13° 14' N,77° 23' E
Gadag,15° 25' N,75° 42' E
Gangawati,15° 30' N,76° 36' E
Gersoppa (Jog) Falls,14° 18' N,74° 55' E
Gokak,16° 11' N,74° 52' E
Gulbarga,17° 19' N,76° 54' E
Hamipi (Vijanagar),15° 20' N,76° 30' E
Hangai,14° 46' N,75° 12' E
Harihar,14° 31' N,75° 52' E
Harnhalli,13° 15' N,76° 12' E
Harpanahalli,14° 47' N,75° 58' E
Hassan,13° 01' N,76° 10' E
Hiriyur,13° 57' N,76° 40' E
Hole Narsipur,12° 47' N,76° 17' E
Homnabad,17° 43' N,77° 12' E
Honavar,14° 17' N,74° 29' E
Honnali,14° 15' N,75° 41 W
Hosdurga,13° 48' N,76° 20' E
Hospet,15° 16' N,76° 26' E
Hubli,15° 20' N,75° 12' E
Hunsur,12° 18' N,76° 19' E
Jamkhandi,16° 30' N,75° 20' E
Location,Latitude,Longitude
Jog Falls,14° 18' N,74° 55' E
Kadur,13° 33' N,76° 03' E
Kallur,16° 12' N,77° 08' E
Kalyani,17° 53' N,76° 59' E
Karkala,13° 12' N,75° 00' E
Karwar,14° 48' N,74° 11' E
Khanpur,15° 42' N,74° 35' E
Kolar,13° 09' N,78° 11' E
Kollegal,12° 09' N,77° 09' E
Kollur,13° 53' N,74° 53' E
Kopbal,15° 20' N,76° 13' E
Kotturu,14° 49' N,76° 16' E
Krishnaraj Res.,12° 20' N,76° 32' E
"Kudremukh, Peak",13° 10' N,75° 15' E
Kumta,14° 26' N,74° 27' E
Lingsugur,16° 07' N,76° 34' E
Londa,15° 60' N,74° 50' E
Mangaluru (Mangalore),12° 52' N,74° 53' E
Manvi,19° 18' N,76° 30' E
Mercara,12° 26' N,75° 47' E
Muddebihal,16° 20' N,76° 10' E
Mudhol,16° 20' N,75° 20' E
Mulbagal,13° 11' N,78° 14' E
Mysore,12° 18' N,76° 42' E
Nanjangud,12° 07' N,76° 44' E
Puttur,12° 45' N,75° 1' E
Ramanagaram,12° 54' N,78° 02' E
Ramdurg,15° 58' N,75° 22' E
Ranibennur,14° 33' N,75° 41' E
Robertosonpet,12° 58' N,78° 16' E
Sagar,16° 37' N,76° 51' E
Sandur,15° 02' N,76° 36' E
Savanur,14° 58' N,75° 19' E
Shahabad,17° 1' N,78° 11' E
shahapur,15° 5' N,74° 34' E
shikarpur,14° 16' N,75° 24' E
Shimoga,13° 56' N,75° 38
Talguppa,14° 10' N,74° 52' E
Tarikere,13° 42' N,75° 51' E
Tumkur,13° 20' N,77° 08' E
Udipi,13° 20' N,74° 45' E
Vanivilas Sagar,13° 50' N,76° 25' E
Vijayanagar (Hampi),15° 20' N,76° 30' E
Wadi,17° 00' N,76° 57' E
Yelandur,12° 05' N,77° 00' E